Barkod;"Eser Adı / Kitap Adı";Yazar;"Yer Numarası (Sırt No)";ISBN/ISSN;"Raf Konumu";"Ana Kütüphane";"Raf Kontrol Notu";"Materyal Türü"
111000000077;"99 sayfada astım";"Küçükusta, Ahmet Rasim";"616.23 KÜÇ 2008";9789944881005;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000078;"Manual for the production of statistics on the digital economy 2020";;"330.122 MAN 2021";9789211130195;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000080;"Ah şu uzaylılar!";"Tan, Canan";"813.42 TAN 2010";9789752108462;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";"Danışma Kaynağı";" Kitap"
111000000081;Hasat;"Akengin, Yahya";"811.42 AKE 2004";9752670377;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";"Danışma Kaynağı";" Kitap"
111000000082;Hasat;"Akengin, Yahya";"811.42 AKE 2004";9752670377;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000083;Hasat;"Akengin, Yahya";"811.42 AKE 2004";9752670377;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";"Danışma Kaynağı";" Kitap"
111000000084;"Zalım Gurbet";"Genç, Rasim";"811.42 GEN 2006";;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";"Danışma Kaynağı";" Kitap"
111000000085;"Anneannem Askere Gidiyor";"İzgü Muzaffer";"813.42 İZG 2004";9754944695;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";"Danışma Kaynağı";" Kitap"
111000000086;testtest;"Işık, Fırat";"123 IŞI 2014";9752104444111;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;Dergiler/Seriler
111000000087;"Salıncak sallanır";"Akın, Serap";"813.42 AKI 2009";;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";"Danışma Kaynağı";" Kitap"
111000000088;"Kardan Kadın Düşü";"Tanrıkulu, Tamer";"813.42 TAN 2010";9789759094916;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";"Danışma Kaynağı";" Kitap"
111000000089;"Kıbrıs Yollarında";"İzgü, Muzaffer";"000.00 İZG 2014";111222333;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000090;Yemin;"Derting, Kimberly";"828.3354 DER 2012";9786050904970;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";"Danışma Kaynağı";" Kitap"
111000000091;Yemin;"Derting, Kimberly";"828.3354 DER 2012";9786050904970;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";"Danışma Kaynağı";" Kitap"
111000000092;"Güller ve öpücükler";"Pizzey, Erin";"823.3354 PİZ 1998";975140620X;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";"Danışma Kaynağı";" Kitap"
111000000093;Efendi;"Yalçın, Soner";"320.9561 YAL 2006";9752932037;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";"Danışma Kaynağı";" Kitap"
111000000094;"İki efendinin uşağı";Goldonı;"852.5 GOL 1946";;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000095;Efendi;"Yalçın, Soner";"320.9561 YAL 2006";9752932037;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000096;Efendi;"Yalçın, Soner";"320.9561 YAL 2006";9752932037;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000097;"Kahraman itfaiyeciler";"Amery, Heather";"372.412 AME 2017";9786053320265;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000098;Efendi;"Yalçın, Soner";"320.9561 YAL 2008";9752932037;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000099;Gel;"Polat, Fatma";"813.42 POL 2011";9786054470051;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000100;"İmparator Jones";"O'Neill, Eugene";"828.3252 O'N 1946";;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000101;"Öğretmenler ölmezmiş (DEĞERLERİMİZ EĞİTİMİ ÖYKÜ DİZİSİ ) 2";"Delimehmet, Emine";"398.2 DEL 2013";9789944814843;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000102;"Kağıt helva";"Şafak, Elif";"818.42 ŞAF 2012";9786050900651;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000103;"Demet'in bahçesi";"Çınaroğlu, Ayla";"372.412 ÇIN 2005";9755871004;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000104;"Yağmur";"Regü, Şükrü Enis";"811 REG 1944";;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000105;"Dağ";"Mungan, Murathan";"811.42 MUN 2007";9789753426404;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000106;"Çılgın";"Lebert, Benjamin";"833.9 LEB 2001";975070116X;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000107;"Beyaz Diş";"London, Jack";"828.3354 LON 2011";9786055768300;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000108;Töre;"Çavuş, Ömer";"813.42 ÇAV 2012";9786055416416;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000109;Kar;"Pamuk, Orhan";"813.42 PAM C200";"9754700101 | 9754709610";"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000110;"Eskici ve oğulları";"Orhan Kemal";"813.42 ORH 2013";9789752895034;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000111;L'escroc;"Orhan Kemal";"813.42 ORH 2002";9751728738;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000112;"Kahraman fenerciler";"Verne, Jules";"843.8 VER 2013";9786054755158;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000113;"Alaska’nın peşinde";"Green, John";"828.3354 GRE 2013";9786053431473;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000115;"Güneş Toplayan Serçeler";"Kandeyer, Gülnar";"813.42 KAN 2010";9786054051878;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000116;"Körler ülkesi";"Walter, Jess";"828.3354 WAL 2010";9786055903213;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000117;"Körler ülkesi";"Walter, Jess";"828.3354 WAL 2010";9786055903213;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000118;"İnce Memed 1";"Yaşar Kemal";"813.42 YAŞ 2006";"9750807146 | 9750806980";"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000119;"İnce Memed 1";"Yaşar Kemal";" YAŞ 2006";9750807146;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000120;"Kahraman fenerciler";"Verne, Jules";"843.8 VER 2013";9786054755158;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000122;"Kağıt helva";"Şafak, Elif";"818.42 ŞAF 2012";9786050900651;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000123;Kar;"Pamuk, Orhan";"813.42 PAM C200";"9754700101 | 9754709610";"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000124;"Mustafa Kemal ve Amerika";"Kutay, Cemal";"956.1024 KUT 2014";9786055171520;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000125;"Hayal gücü ile çizim";"Dodson, Bert";"751.4 DOD 2013";9786053431299;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000126;Firuze;"Can, Hüdayi";"813.42 CAN 2011";9786055510145;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000127;"Deniz Hikayeleri";"Armitage, Ronda";"372.412 ARM 2012";9786053604792;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000128;Ada;"Huxley, Aldous";"823.914 HUX 1999";975539267X;"Özel Koleksiyon";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000129;Ada;"Huxley, Aldous";"823.914 HUX 1999";975539267X;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000130;"Mustafa Kemal ve Amerika";"Kutay, Cemal";"956.1024 KUT 2014";9786055171520;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000131;"Deneylerle bilim";"Edom, Helen";"507.8 EDO 2008";9789754033816;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000132;Tarih;"Şemsettin günaltay";"907 ŞEM 1939";;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000133;"Güneş";"Mukherjee, Vijita";"372.412 MUK 2013";9786053830795;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000134;"Sevgi okulları";"Ekiz, Alim";"398.2 EKİ 2003";9758498746;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000135;"Sevgi okulları";"Ekiz, Alim";"398.2 EKİ 2003";9758498746;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000136;Sevgi;"Tanışır, Ferzende";"813 TAN 2008";;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000137;"Sevgi okulları";"Ekiz, Alim";"398.2 EKİ 2003";9758498746;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000138;"Köpek Bakımı";"Taylor, David";"636 TAY 2014";9751005728;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000139;"Güneş";"Mukherjee, Vijita";"372.412 MUK 2013";9786053830795;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000140;"Mustafa Kemal ve Amerika";"Kutay, Cemal";"956.1024 KUT 2014";9786055171520;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000141;"Ruh Ve Yürek";"Binchy, Maeve";"823.914 BİN 2010";9786051114750;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000142;"Kimya Hatun";"Kuds, Saide";"891.5533 KUD 2007";9789944204507;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000143;"Her gün hüzün";"Brown, Christy";"828.503 BRO 2010";9786055913380;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000144;Sevgi;"Tanışır, Ferzende";"813 TAN 2008";;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000145;"Demir adam";"Hughes Ted";"823.914 HUG 2011";9789750713712;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000146;Huzur;"Tanpınar, Ahmet Hamdi";"813.42 TAN 2013";9789759951108;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000147;Hasat;"Akengin, Yahya";"811.42 AKE 2004";9752670377;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000148;Huzur;"Tanpınar, Ahmet Hamdi";"813.42 TAN 2013";9789759951108;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000149;Hasat;"Akengin, Yahya";"811.42 AKE 2004";9752670377;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000150;Hasat;"Akengin, Yahya";"811.42 AKE 2004";9752670377;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000151;Hasat;"Akengin, Yahya";"811.42 AKE 2004";9752670377;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000152;"Güneş";"Mukherjee, Vijita";"372.412 MUK 2013";9786053830795;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000153;Gel;"Polat, Fatma";"813.42 POL 2011";9786054470051;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000154;Gel;"Polat, Fatma";"813.42 POL 2011";9786054470051;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000155;"Güneş";"Mukherjee, Vijita";"372.412 MUK 2013";9786053830795;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000156;Gel;"Polat, Fatma";"813.42 POL 2011";9786054470051;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000157;"99 sayfada astım";"Küçükusta, Ahmet Rasim";"616.73 KÜÇ 2014";9789944881005;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000158;"99 sayfada astım";"Küçükusta, Ahmet Rasim";"616.73 KÜÇ 2014";9789944881005;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000159;Gel;"Polat, Fatma";"813.42 POL 2011";9786054470051;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000160;Gel;"Polat, Fatma";"813.42 POL 2011";9786054470051;Depo;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000161;"99 sayfada astım";"Küçükusta, Ahmet Rasim";"616.73 KÜÇ 2014";9789944881005;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000162;"99 sayfada astım";"Küçükusta, Ahmet Rasim";"616.73 KÜÇ 2014";9789944881005;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000163;"99 sayfada astım";"Küçükusta, Ahmet Rasim";"616.73 KÜÇ 2014";9789944881005;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000164;"Kimya Hatun";"Kuds, Saide";"891.5533 KUD 2007";9789944204507;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000165;"Kimya Hatun";"Kuds, Saide";"891.5533 KUD 2007";9789944204507;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000166;"99 sayfada astım";"Küçükusta, Ahmet Rasim";"616.73 KÜÇ 2014";9789944881005;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000167;"Güneş";"Mukherjee, Vijita";"372.412 MUK 2013";9786053830795;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000168;"Neşeli günler";"Trapp, Maria";"833 TRA 2014";;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000169;"Güneş";"Mukherjee, Vijita";"372.412 MUK 2013";9786053830795;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000170;"Şah’a kalkan gemiler";"Gencer, Alper";"813.42 GEN 2014";9787557737407;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000171;"Rumi and aşkın terapi II";"Özdengül, Faik";"922.97 ÖZD 2010";9786053890218;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000172;"Kağıt Helva";"Şafak, Elif";"813.42 ŞAF 2012";9786050900651;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000173;"Rûmî ve aşkın terapi II";"Özdengül, Faik";"297.7 ÖZD 2010";9786053890218;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000174;"Hacı Ömer Baba divanı";"Hacı Ömer Baba";"819.13 HAC 1998";9759623323;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000175;"Sosyal fobi";"Burkovik, Hatice Yıldız";"616.85225 BUR 2013";9752630057;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000176;"Otoyol uykusu";"Sayar, Kemal";"813.42 SAY 2012";9786051140674;"Diğer";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000177;Osmanlılar;"İnalcık, Halil";"956.1015 İNA 2010";9786051141886;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000180;"Okul yıllığı";"Ata, Atakan";"813.42 ATA 2016";;"Diğer";"DEMO EĞİTİM KÜTÜPHANESİ";;DVD
111000000181;Gel;"Polat, Fatma";"813.42 POL 2011";9786054470051;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000182;"İnce Memed";"Yaşar Kemal";"813.42 YAŞ 1991";9754330093;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000183;"Babamın bavulu";"Pamuk, Orhan";"813.42 PAM 2007";9789750504822;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000184;"Doğu halıları";"Haack, Hermann";"746.7 HAA 1975";;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000185;"Nar-ı aşk";"Ünver, Mine Sultan";"813.42 ÜNV 2013";9786051146645;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000186;"Nar-ı aşk";"Ünver, Mine Sultan";"813.42 ÜNV 2013";9786051146645;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000187;"KKTC Kuzey Kıbrıs Türk Cumhuriyeti";;"900 KKT 1998";;"Özel Koleksiyon";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000188;"KKTC Kuzey Kıbrıs Türk Cumhuriyeti";;"900 KKT 1998";;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000189;"Osmanlının görsel şiirleri";"Şenödeyici, Özer";"819.11 ŞEN 2012";9786054646180;"Gezici Kütüphane";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000190;"Nemrut Dağında İlahlar Arasında";"Dörner, Eleonore";"838.914 DÖR 1988";9751701880;"Kent Kitaplığı";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000191;"İlginç inek";"Sivaslıoğlu, Aziz";"813.42 SIV 1995";;"Kent Kitaplığı";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000192;"İlginç inek";"Sivaslıoğlu, Aziz";"813.42 SIV 1995";;"Kent Kitaplığı";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000193;"İlginç inek";"Sivaslıoğlu, Aziz";"813.42 SIV 1995";;"Kent Kitaplığı";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000194;"Zaman toprakta durur";"Şöhret, Fikret";"811.42 ŞÖH 2012";9786056278709;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000195;"Rodoslu ahter";"İzmirli, Zühal";"813.42 İZM 2012";9786055340353;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000196;"Bir tokata bir koca";"Buğra, Hatice Bilen";"813.42 BUĞ 2010";9789754377484;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000197;"Ekolojik temizliğin kitabı";"Şamcı, Erkan";"574.5 ŞAM 2014";9786051510026;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000198;"Ekolojik temizliğin kitabı";"Şamcı, Erkan";"574.5 ŞAM 2014";9786051510026;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000199;"Gerçekleşecek olan gerçekleşecektir";"Şahinler, Necmettin";"297.23 ŞAH 2011";9789755746241;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000200;"Balığın karanlığı ve güneşi doğurmak";"Şahinler, Necmettin";"814.42 ŞAH 2012";9789755746524;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000201;"Annemi Anıyorum";"Kandemir, M.Yaşar";"297.7 KAN YY";9753810571;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000202;"Veled Çelebi İzbudak";"Korucuoğlu, Nevin";"928 KOR 1994";9751714206;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000203;Tarih;"Şemsettin günaltay";"907 ŞEM 1939";;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000204;"Ada sahili";"Işıkk, Fırat";"823.914 IŞI 1999";975539267;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000205;"Manisa hür ekspres gazetesi";;"070 MAN 2016";;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;Gazete
111000000206;"Adı Aylin";"Kulin, Ayşe";"813.42 KUL 2010";9752890431;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000207;"Ah şu uzaylılar!";"Tan, Canan";"813.42 TAN 2011";9789752108462;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000208;deneme;"Mehmet A. Özbek";"020.000 MEH 2014";;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;Oyuncak
111000000210;"Gönül yolculuğu";"Topbaş, Osman Nuri";"297.4 TOP 2013";9789944833875;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000211;Deniz;"Wolf, Tony";"372.3 WOL 2008";9789759020743;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000212;Tarih;"Şemsettin günaltay";"907 ŞEM 1939";;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
